 -3.96	0
 -3.88	0
 -3.8	0
 -3.72	0
 -3.64	0
 -3.56	0
 -3.48	0
 -3.4	0
 -3.32	0
 -3.24	0
 -3.16	6e-07
 -3.08	1.5e-06
 -3	2.1e-06
 -2.92	6.3e-06
 -2.84	9.2e-06
 -2.76	1.45e-05
 -2.68	2.64e-05
 -2.6	3.55e-05
 -2.52	6.54e-05
 -2.44	0.0001047
 -2.36	0.0001439
 -2.28	0.0002103
 -2.2	0.0002958
 -2.12	0.00044
 -2.04	0.000567
 -1.96	0.0007745
 -1.88	0.001091
 -1.8	0.0014185
 -1.72	0.0019356
 -1.64	0.0025534
 -1.56	0.0034705
 -1.48	0.0043372
 -1.4	0.0056026
 -1.32	0.0070453
 -1.24	0.0086531
 -1.16	0.0107372
 -1.08	0.013152
 -1	0.0156664
 -0.92	0.018356
 -0.84	0.0213444
 -0.76	0.024282
 -0.68	0.0274349
 -0.6	0.0305196
 -0.52	0.033698
 -0.44	0.036356
 -0.36	0.0390994
 -0.28	0.0413469
 -0.2	0.0431686
 -0.12	0.0446565
 -0.04	0.0449409
 0.04	0.0457943
 0.12	0.0452805
 0.2	0.0445003
 0.28	0.0430379
 0.36	0.0407792
 0.44	0.0385849
 0.52	0.0358422
 0.6	0.0328141
 0.68	0.0296145
 0.76	0.0265305
 0.84	0.0231279
 0.92	0.0202745
 1	0.0175402
 1.08	0.0147231
 1.16	0.0123218
 1.24	0.0101
 1.32	0.0081808
 1.4	0.0066954
 1.48	0.0051104
 1.56	0.0039971
 1.64	0.003071
 1.72	0.0024083
 1.8	0.0017137
 1.88	0.0013083
 1.96	0.0009538
 2.04	0.0006353
 2.12	0.0004501
 2.2	0.0003421
 2.28	0.0002192
 2.36	0.000153
 2.44	0.000111
 2.52	7.19e-05
 2.6	5e-05
 2.68	3.46e-05
 2.76	2.34e-05
 2.84	1.37e-05
 2.92	1.12e-05
 3	7.1e-06
 3.08	4.4e-06
 3.16	9e-07
 3.24	8e-07
 3.32	1.5e-06
 3.4	1e-06
 3.48	4e-07
 3.56	0
 3.64	0
 3.72	0
 3.8	0
 3.88	0
 3.96	0
